National_ID,Card_ID,names,governorate,balance,paid_on_raod,voiltaion_should_paid,sum_voiltaion_paid,is_paid_on_time
79051023077076,H9HKOQF01CYO, saad,Beni_Suef,295,48019,4867,5577,0
81349586735367,IHD16HH2D22H,sara Amir,Asyut,163,4242,3577,9127,1
38996604741174,GL3XPHMCQO87,rahma Elsadiq,Giza,322,10686,4766,7740,1
31790947740685,3I1BY46D48GX,ibrahim Amir,South_Sinai,105,30455,4764,7173,0
74093032185597,S9YZRLY8F2P3,hoda Zaid,Gharbia,134,46732,1468,3083,0
91848125760567,U17A3XEP5OK5,nada Amir,Asyut,285,43914,1651,2203,1
8770649137840,DNAYJI8XPGXS,nour ali,Kafr_El_Sheikh,201,4359,1358,6227,0
53748449285125,05OL9ZLSR1TQ,amera Samir,Qalyubia,290,14165,4444,3663,1
22379267766941,Z42C3227E81H,nada omar,Gharbia,418,18214,4679,7354,1
79263955514434,Y1Z35TX0KGIQ,Ahmed  Mohsen,Qalyubia,228,10537,1372,2636,0
7995403327406,66YOJ9CF3ZCD,mustafa Elsadiq,Dakahlia,488,3339,1958,9082,1
94582424891118,4WY4X2W6G0RE,Khaled said,Qena,109,49163,2182,2690,0
12603908679463,F9N4A064DGI3,reem saad,Matruh,378,42449,3937,8939,0
49588228930847,6LCMK4YN97N2,badr Farhat,Asyut,401,2578,1529,9416,1
31027241797576,R2QV69G2YB3W,abdulrhman Abdullah,Dakahlia,499,33474,3847,5115,0
29954173246339,AM1TOJG14B11,mohammed Samir,Qalyubia,491,16286,2612,5864,0
31572897315940,O07O44E1HK0E,reem Amir,Aswan,320,10386,2421,2709,0
38769817860643,G78ZJPWLC7CV,mustafa omar,Beheira,365,18301,4521,9338,0
36065084199724,Y84W8LLIGJJS,Ahmed  Amir,Qalyubia,177,23366,4759,2278,0
88689065295108,3RDCLGGA9M4O,rahma Farhat,Red_Sea,180,28996,1528,9208,0
93304441058533,LJAZ97O3QF6O, Abdullah,Sohag,461,16579,3420,3881,0
48166550814556,6PAOLRM3JBQF,amera ali,Faiyum,366,10036,1913,7135,0
77177221133471,BJA1F3V36SSD,hoda Zaid,Kafr_El_Sheikh,117,12827,3184,5885,1
57514697311286,O39938J1X6FD,ibrahim said,Matruh,311,30546,1098,2855,1
67948996568568,CE2DQ8CRV0XB,reem Samir,Red_Sea,274,48788,1710,4269,0
33163617696990,2EFEARB246O0,Elsadiq Zaid,Giza,153,44428,1664,6454,0
33279820350040,Z21VCAGQS5IW,reem saad,Aswan,348,39796,2627,7425,0
28785507613426,OLDWBSM4RNDW,reem said,Sohag,292,32885,3155,3664,0
34337527462118,ZD6FQ2505SLP,Wagdi yasser,Sharqia,332,48009,1517,7430,1
34352484801379,L5A5JUPANK30,abdulrhman Amir,Ismailia,403,18820,3296,7304,0
65639029290895,ODQHY5AB4PXZ,somia yasser,New_Valley,480,17197,3081,4550,0
87680028104119,JFBLOAR63LSS,ibrahim omar,Sharqia,324,18755,4198,7971,1
79643937655478,6ZKJDTHKTS10,mustafa Farhat,Alexandria,242,49641,2608,7685,1
82632260936387,EW3EBTNRP34Y,somia omar,Kafr_El_Sheikh,423,1369,4821,2968,0
60087059333447,GZR5X0GXSDXT,Ahmed  Abdullah,South_Sinai,221,30915,1439,4820,0
79454963547608,OQF9C7RNEBH4,reem Amir,Minya,455,35025,1296,7948,0
17525448391626,IIXW8WRLDO8S,badr Abdullah,Beni_Suef,244,24296,4028,3928,0
26549562204729,UUO7GQ9RCXU0,abdulrhman Zaid,Asyut,271,15369,3614,6637,1
88692990925140,4PXID3I04IP3,Elsadiq Amir,Giza,278,20226,4633,2623,0
35366953741295,1A1N1UOF8LG0,rahma Mohsen,Dakahlia,351,40020,4752,7805,1
58195315381181,QAIF0BUCCL3I,ibrahim Abdullah,Minya,442,24847,2704,8102,1
24853517974604,GPXXM9LMT5EL,Wagdi yasser,New_Valley,230,11828,3049,2645,0
81692368084718,E6AM0R0DNGMT,reem saad,Faiyum,318,17324,2509,7644,0
95577164722602,50ANHY5MT1TD, saad,Beheira,436,36675,3940,9198,1
50440634356588,QGKJXZFUUZJX,nada omar,Beni_Suef,399,32979,1089,3791,1
80469848694883,5LVD3AJKM3ZL,mohammed Farhat,Monufia,117,37223,3904,2900,0
15128028027385,LK6I4143Z2SU,nada Elsadiq,North_Sinai,393,25627,1443,9625,1
15415736633683,2MEBGJ3ODUWK,amera omar,Suez,134,10372,4979,2636,0
80731344845059,O6RN6XHJF56E,mustafa Amir,Aswan,381,37835,1923,2518,0
48462508129903,JYXTK4P6WBFS,ibrahim Amir,Gharbia,378,15734,3615,8657,0
81761344821187,DMGB7R295XK7,badr yasser,New_Valley,185,40252,2072,4812,1
87996596071896,C6K9NBGNWN13,Elsadiq said,Aswan,493,10969,3304,7852,1
86448947374480,7J8V6R94AIHB,eman Samir,Beni_Suef,462,43304,1934,7394,1
88175851541623,86ATAXGV806M,amera yasser,Aswan,141,48903,2295,4154,0
55847396353887,L7XOJWQWBAFC, Samir,Matruh,225,15533,3106,8070,0
56331813878876,BPDKBI6N0LGD,nada nader,Kafr_El_Sheikh,251,48402,4267,9844,1
17126915711384,ND2T0XPTI24C,badr nader,Red_Sea,256,19216,1710,4321,1
61016765659448,AHK0DIFQQ7QO,Elsadiq nader,Aswan,290,35122,1043,3520,1
65563469337690,37MXEXJBWVVQ,badr Farhat,Gharbia,468,24625,3128,9384,1
92412071778261,T9XZO0QLE4Q2,rahma yasser,Kafr_El_Sheikh,482,17966,1901,7603,1
88305657759383,KI6MUHFUTDJG,reem Farhat,North_Sinai,167,17362,3496,6893,0
23021405880103,JKITSV0RXU40,somia Mohsen,North_Sinai,191,27808,4773,3748,0
67622823469053,IZOM6MWK73DG, Amir,New_Valley,375,35252,1467,3780,1
41964978714755,7FF03CFIC15G,ibrahim omar,North_Sinai,201,28553,4269,6656,1
17173258017025,1AZ8VAUOE387,reem nader,Minya,112,14678,4708,2362,0
33136894042602,GLZTSBP3TNBL,hoda saad,Faiyum,347,2294,3685,3947,0
86493383085890,QWWO5ZROSHT9,hoda Farhat,South_Sinai,330,40109,4585,8124,1
26748963514139,A9IO8ME5KWBQ,Wagdi ali,Alexandria,101,12905,4665,5615,0
10781118744262,YFSA1HKAN7D5,sara nader,Port_Said,321,2650,2201,5712,0
85032015243427,5M100WC7E7TW,reem nader,Gharbia,225,6780,2179,4269,0
25513013095932,3GWN3EWF516F,sara saad,Matruh,295,36473,1760,8385,0
95656418532513,HMTBSTN56B0Z,mohammed Farhat,Beni_Suef,244,7345,2714,2249,0
13150580988468,Z92MHAM58WK4,somia Mohsen,Matruh,181,35945,1301,9416,1
57056871698984,RXVA61POCVA2,rahma said,Luxor,265,39970,1378,3924,1
95143413342707,RBFHCBKHPS75,Ahmed  Mohsen,Matruh,272,32795,4649,6245,0
